relative_time,LinearAccelerometerSensor,AccX,AccY,AccZ
12991,5.3283898967325545,3.547950267791748,10.357050895690918,
13011,6.682260332358659,1.6270500421524048,10.699050903320312,7.669050216674805
13031,8.760782628045247,-0.33195000886917114,11.142000198364258,8.563950538635254
13051,10.730671383916729,-1.2679500579833984,11.818950653076172,10.347000122070312
13071,12.171876880415452,-1.287000060081482,12.81705093383789,11.836950302124023
13092,,,,12.622050285339355
13093,12.745568795694496,-0.8350500464439392,13.4010009765625,
13117,12.94700501910939,-0.625950038433075,13.561050415039062,12.984000205993652
13132,12.171878134025592,-0.7030500173568726,13.150050163269043,12.133950233459473
13151,11.693414018005365,-0.37005001306533813,12.669000625610352,12.2160005569458
13171,,,,12.297000885009766
13172,11.068240642836349,-0.0880500078201294,11.86500072479248,
13191,10.056304351109727,0.9970500469207764,11.415000915527344,12.094050407409668
13212,8.3935132729672,2.4499502182006836,11.010000228881836,11.067000389099121
13231,6.4664293632356955,3.6850502490997314,10.48905086517334,9.523950576782227
13251,4.458281305787925,,9.748950004577637,7.803000450134277
13252,,4.672950267791748,,
13275,2.4991117806898537,,8.809050559997559,6.106050491333008
13276,,5.137050151824951,,
13291,1.2317443532967207,,7.5360002517700195,5.293050289154053
13292,,4.5169501304626465,,
13311,,,6.598050117492676,5.251950263977051
13312,1.5273629501970125,4.504950046539307,,
13331,2.058210594234644,4.969950199127197,5.724000453948975,4.537050247192383
13351,,,,2.9980502128601074
13352,3.183873226325677,5.530050277709961,5.052000045776367,
13372,4.734565353343748,5.946000099182129,4.462950229644775,1.1770501136779785
13391,,,,-0.9250500202178955
13392,6.546865385863317,5.287950038909912,3.6280500888824463,
13411,7.407359623578268,4.3090500831604,2.9410500526428223,-1.588050127029419
13431,,,,-1.324950098991394
13432,7.5124936629029015,4.351950168609619,2.608950138092041,
13451,,,2.230950117111206,-1.4350500106811523
13452,7.917141495234653,4.527000427246094,,
13471,8.313850006387591,4.099050045013428,1.9200000762939453,-1.7130000591278076
13492,8.921691999546141,3.5269501209259033,1.6300500631332397,-2.335050106048584
13512,8.82951800403588,3.318000078201294,1.9240500926971436,-2.5380001068115234
13532,8.314436378668242,3.807000160217285,2.4340500831604004,-2.385000228881836
13553,7.42735406311738,4.837950229644775,3.5059502124786377,-2.155050039291382
13572,6.723052594450243,5.692050457000732,4.438950061798096,-1.8390001058578491
13592,5.598822994518597,5.781000137329102,5.277000427246094,-0.9850500226020813
13611,,,,0.5020500421524048
13613,4.0481650163240195,5.967000484466553,6.081000328063965,
13631,,,,2.8399500846862793
13632,1.4332562706805327,4.98900032043457,6.708000183105469,
13652,1.9704668340052809,,7.858950138092041,6.082950115203857
13653,,4.177950382232666,,
13672,4.948905808476443,3.718050241470337,9.442950248718262,8.5420503616333
13693,6.298535300848536,3.4240500926971436,10.996050834655762,8.830050468444824
13711,,,,7.855950355529785
13712,6.715180624366786,2.686950206756592,11.770950317382812,
13734,8.014912534582752,,12.135000228881836,7.978050231933594
13735,,1.0830000638961792,,
13752,9.62502298723919,0.3439500033855438,12.652050971984863,9.466050148010254
13772,,,13.003951072692871,10.855950355529785
13773,10.778351767375616,0.19095000624656677,,
13792,,,,11.494950294494629
13793,11.312592732592123,0.226950004696846,13.201951026916504,
13813,11.453526009777104,0.32295000553131104,13.296000480651855,11.66295051574707
